snapped_at,price,market_cap,total_volume,hash_rate
2014-01-09 00:00:00 UTC,853.2900,10443906952.0000,58813600.0000,13609026876265400
2014-01-10 00:00:00 UTC,863.3000,10570439442.0000,29763600.0000,14596210172989300
2014-01-11 00:00:00 UTC,905.7200,11094594497.0000,48299500.0000,13185948320526600
2014-01-12 00:00:00 UTC,867.4500,10630187711.0000,40171100.0000,14807749450858700
2014-01-13 00:00:00 UTC,840.9600,10309307616.0000,42950500.0000,14596210172989300
2014-01-14 00:00:00 UTC,838.0500,10276902394.0000,23469400.0000,15034047585341700
2014-01-15 00:00:00 UTC,860.4400,10555404678.0000,28600400.0000,14411335555179600
2014-01-16 00:00:00 UTC,837.9800,10283900055.0000,18719700.0000,16368430507117600
2014-01-17 00:00:00 UTC,812.9000,9979241690.0000,39266000.0000,16457389368569300
2014-01-18 00:00:00 UTC,840.0000,10315662000.0000,18052700.0000,13521746940662300
2014-01-19 00:00:00 UTC,838.1700,10293335273.0000,17574100.0000,15478841892600300
2014-01-20 00:00:00 UTC,869.1500,10677333920.0000,25421600.0000,15034047585341700
2014-01-21 00:00:00 UTC,869.5700,10686776168.0000,26779700.0000,17346977983086600
2014-01-22 00:00:00 UTC,865.0300,10635024832.0000,17879900.0000,14767171000986500
2014-01-23 00:00:00 UTC,846.9700,10417265166.0000,18412100.0000,17080101398731400
2014-01-24 00:00:00 UTC,808.3200,9945387408.0000,20176000.0000,15745718476955500
2014-01-25 00:00:00 UTC,804.3900,9900713656.0000,31742800.0000,16813224814376200
2014-01-26 00:00:00 UTC,853.5100,10508799200.0000,22676800.0000,17994366910201800
2014-01-27 00:00:00 UTC,891.8600,10984370725.0000,32539200.0000,16576628911216200
2014-01-28 00:00:00 UTC,777.0000,9573533550.0000,61878700.0000,18975877832576400
2014-01-29 00:00:00 UTC,816.8500,10067676250.0000,33409200.0000,16794742449521600
2014-01-30 00:00:00 UTC,817.1700,10074827642.0000,16261700.0000,16576628911216200
2014-01-31 00:00:00 UTC,817.9300,10087796517.0000,31107400.0000,19193991370881900
2014-02-01 00:00:00 UTC,832.5200,10271715012.0000,14722200.0000,20066445524103800
2014-02-02 00:00:00 UTC,836.4100,10323662258.0000,19347600.0000,20611729369867500
2014-02-03 00:00:00 UTC,813.3800,10043290888.0000,12759200.0000,20284559062409300
2014-02-04 00:00:00 UTC,832.3600,10281144248.0000,14823400.0000,19739275216645600
2014-02-05 00:00:00 UTC,830.9200,10267242207.0000,15706200.0000,18757764294270900
2014-02-06 00:00:00 UTC,805.0800,9951171213.0000,47441900.0000,21892201324589000
2014-02-07 00:00:00 UTC,721.3200,8918941470.0000,65733100.0000,23716551434971400
2014-02-08 00:00:00 UTC,701.6100,8678266711.0000,86940400.0000,20198161936376800
2014-02-09 00:00:00 UTC,672.0700,8315656524.0000,34864400.0000,23716551434971400
2014-02-10 00:00:00 UTC,689.6500,8535556672.0000,38527400.0000,17982879659483800
2014-02-11 00:00:00 UTC,697.7600,8638931672.0000,121884000.0000,20328472658546900
2014-02-12 00:00:00 UTC,655.2600,8115968452.0000,65970400.0000,21370958435908300
2014-02-13 00:00:00 UTC,651.9100,8077474557.0000,19109100.0000,23195308546290700
2014-02-14 00:00:00 UTC,623.5700,7729134561.0000,90917600.0000,23195308546290700
2014-02-15 00:00:00 UTC,644.1000,7986582360.0000,57350800.0000,24889347934503000
2014-02-16 00:00:00 UTC,613.8500,7614456286.0000,24104900.0000,24368105045822300
2014-02-17 00:00:00 UTC,645.1400,8005429360.0000,48516100.0000,25410590823183700
2014-02-18 00:00:00 UTC,625.0100,7758139753.0000,22066400.0000,24113648581327400
2014-02-19 00:00:00 UTC,620.9900,7711283048.0000,13276100.0000,25358223991976500
2014-02-20 00:00:00 UTC,593.8900,7377405511.0000,35743400.0000,31114385266228900
2014-02-21 00:00:00 UTC,582.7500,7241455462.0000,56059000.0000,27536230960612500
2014-02-22 00:00:00 UTC,571.0600,7098404288.0000,21675800.0000,23646932802333900
2014-02-23 00:00:00 UTC,622.9700,7746491782.0000,44590700.0000,28002946739606000
2014-02-24 00:00:00 UTC,572.3900,7120130927.0000,47229500.0000,26136083623632200
2014-02-25 00:00:00 UTC,489.3100,6088839080.0000,111102000.0000,29714237929248600
2014-02-26 00:00:00 UTC,567.2500,7061198906.0000,75039300.0000,25047080139314200
2014-02-27 00:00:00 UTC,586.2800,7300959497.0000,38219000.0000,28625234444930500
2014-02-28 00:00:00 UTC,567.2000,7065922360.0000,24649000.0000,29247522150255100
2014-03-01 00:00:00 UTC,560.1100,6979712746.0000,22903800.0000,28158518665937100
2014-03-02 00:00:00 UTC,561.3500,6997269851.0000,11143900.0000,27314014877465500
2014-03-03 00:00:00 UTC,585.7900,7304054418.0000,33049800.0000,26555292241980300
2014-03-04 00:00:00 UTC,675.0000,8418886875.0000,86124600.0000,28072737512950600
2014-03-05 00:00:00 UTC,658.2400,8212712376.0000,26946700.0000,28262418171821900
2014-03-06 00:00:00 UTC,654.5500,8169324004.0000,16659800.0000,29590182783920900
2014-03-07 00:00:00 UTC,617.6200,7711032022.0000,29823000.0000,32814753984732800
2014-03-08 00:00:00 UTC,610.3700,7623170337.0000,21353000.0000,31486989372633800
2014-03-09 00:00:00 UTC,636.1700,7947989895.0000,15489000.0000,31866350690376400
2014-03-10 00:00:00 UTC,621.1700,7763134192.0000,16425700.0000,33952837937960600
2014-03-11 00:00:00 UTC,624.2300,7803983008.0000,12542300.0000,28262418171821900
2014-03-12 00:00:00 UTC,638.0700,7979719372.0000,20806300.0000,31866350690376400
2014-03-13 00:00:00 UTC,639.0300,7994472985.0000,12866600.0000,34521879914574400
2014-03-14 00:00:00 UTC,629.6700,7879611671.0000,11939800.0000,34227275562590200
2014-03-15 00:00:00 UTC,638.0700,7987471922.0000,5963930.0000,28100170677929000
2014-03-16 00:00:00 UTC,629.5500,7883319532.0000,4834240.0000,34861113998934500
2014-03-17 00:00:00 UTC,623.7050,7812934238.0000,13371500.0000,36128790871623000
2014-03-18 00:00:00 UTC,612.6220,7676276184.0000,23217800.0000,34015996083808800
2014-03-19 00:00:00 UTC,610.6360,7653772688.0000,15227500.0000,30846803902087500
2014-03-20 00:00:00 UTC,592.0700,7423640092.0000,20048500.0000,33804716605027400
2014-03-21 00:00:00 UTC,582.3030,7303695511.0000,38053400.0000,37396467744311500
2014-03-22 00:00:00 UTC,561.2200,7041711523.0000,17983700.0000,39297983053344300
